Date,Service_Type,Resource_ID,Region,Usage_Quantity,Cost,Usage_Type,Account,Owner,Resource_State
2023-01-04 14:00:00,EC2,i-87654321,us-east-1,79.35,117.38,Spot,Dept_B,User_3,Stopped
2023-01-04 15:00:00,VPC,vol-12345678,eu-central-1,42.98,3264.79,Reserved,Dept_A,User_3,Terminated
2023-01-04 17:00:00,DynamoDB,bucket-12345,ap-southeast-1,19.81,879.61,Spot,Dept_C,User_2,Stopped
2023-01-04 18:00:00,S3,i-12345678,eu-central-1,9.39,2212.44,Reserved,Dept_C,User_4,Running
2023-01-04 19:00:00,DynamoDB,i-87654321,eu-central-1,7.64,3509.6,Spot,Dept_B,User_5,Stopped
2023-01-04 20:00:00,S3,i-87654321,eu-central-1,83.56,3165.87,On-Demand,Dept_B,User_2,Stopped
2023-01-04 21:00:00,EC2,i-87654321,us-west-2,43.83,2830.35,On-Demand,Dept_D,User_1,Terminated
2023-01-04 22:00:00,RDS,i-12345678,us-east-1,0.41,1634.12,Reserved,Dept_A,User_1,Stopped
2023-01-04 23:00:00,RDS,i-87654321,ap-southeast-1,87.49,3641.14,On-Demand,Dept_D,User_3,Running
2023-01-05 00:00:00,RDS,bucket-12345,eu-central-1,87.7,3266.45,Reserved,Dept_D,User_1,Running
2023-01-05 02:00:00,EC2,vol-12345678,eu-central-1,24.91,4820.47,On-Demand,Dept_B,User_4,Running
2023-01-05 03:00:00,DynamoDB,bucket-12345,us-west-2,37.34,2778.59,On-Demand,Dept_C,User_5,Terminated
2023-01-05 05:00:00,EC2,i-12345678,eu-central-1,48.99,4241.26,Reserved,Dept_B,User_3,Running
2023-01-05 06:00:00,EC2,i-87654321,eu-central-1,15.47,3202.25,Reserved,Dept_D,User_2,Stopped
2023-01-05 07:00:00,EC2,i-87654321,eu-central-1,24.36,372.86,Reserved,Dept_A,User_3,Terminated
2023-01-05 08:00:00,EC2,i-87654321,us-west-2,97.26,2533.19,On-Demand,Dept_B,User_1,Stopped
2023-01-05 09:00:00,RDS,i-12345678,us-west-2,15.19,3903.09,Spot,Dept_D,User_5,Terminated
2023-01-05 10:00:00,Lambda,i-12345678,us-east-1,72.64,3500.05,Reserved,Dept_B,User_1,Stopped
2023-01-05 11:00:00,Lambda,i-12345678,ap-southeast-1,47.85,4853.86,On-Demand,Dept_C,User_5,Running
2023-01-05 12:00:00,EC2,bucket-12345,ap-southeast-1,74.89,125.07,On-Demand,Dept_C,User_5,Stopped
2023-01-05 13:00:00,Lambda,i-12345678,us-west-2,66.15,1306.46,Reserved,Dept_C,User_5,Running
2023-01-05 14:00:00,Lambda,vol-12345678,ap-southeast-1,43.97,2746.01,Reserved,Dept_D,User_2,Terminated
2023-01-05 15:00:00,EC2,bucket-12345,eu-central-1,35.46,3097.64,On-Demand,Dept_B,User_3,Terminated
2023-01-05 16:00:00,Lambda,bucket-12345,us-east-1,75.46,1372.14,Reserved,Dept_D,User_2,Running
2023-01-05 17:00:00,DynamoDB,bucket-12345,us-west-2,32.38,4134.09,Reserved,Dept_B,User_2,Stopped
2023-01-06 00:00:00,S3,i-87654321,us-west-2,9.23,317.71,On-Demand,Dept_C,User_4,Stopped
2023-01-06 07:00:00,Lambda,vol-12345678,eu-central-1,40.09,4246.98,Reserved,Dept_C,User_1,Running
2023-01-06 09:00:00,EC2,i-87654321,us-west-2,70.39,4238.61,On-Demand,Dept_C,User_3,Stopped
2023-01-06 13:00:00,Lambda,i-12345678,ap-southeast-1,60.19,202.68,Spot,Dept_C,User_5,Terminated
2023-01-06 14:00:00,EC2,bucket-12345,ap-southeast-1,16.36,4105.92,Spot,Dept_B,User_4,Running
2023-01-06 15:00:00,DynamoDB,i-12345678,us-west-2,54.92,693.67,Spot,Dept_C,User_2,Running
2023-01-06 18:00:00,Lambda,vol-12345678,ap-southeast-1,68.38,4477.19,Reserved,Dept_B,User_4,Terminated
2023-01-06 19:00:00,EC2,vol-12345678,eu-central-1,7.62,112.69,Reserved,Dept_C,User_1,Running
2023-01-06 21:00:00,S3,i-12345678,us-west-2,9.58,3212.79,Reserved,Dept_B,User_1,Stopped
2023-01-07 02:00:00,RDS,i-87654321,us-east-1,31.09,2340.86,Reserved,Dept_D,User_5,Stopped
2023-01-07 04:00:00,RDS,bucket-12345,eu-central-1,58.51,4227.05,On-Demand,Dept_B,User_2,Terminated
2023-01-07 06:00:00,DynamoDB,i-12345678,eu-central-1,65.18,3086.7,On-Demand,Dept_C,User_1,Running
2023-01-07 07:00:00,DynamoDB,i-12345678,us-west-2,48.94,0.6,Spot,Dept_C,User_2,Stopped
2023-01-07 09:00:00,DynamoDB,i-87654321,us-west-2,83.3,4876.19,Reserved,Dept_C,User_2,Terminated
2023-01-07 11:00:00,DynamoDB,bucket-12345,us-west-2,17.49,2974.08,Reserved,Dept_C,User_4,Stopped
2023-01-07 12:00:00,Lambda,bucket-12345,eu-central-1,55.23,3811.54,Reserved,Dept_C,User_5,Running
2023-01-07 13:00:00,Lambda,i-87654321,ap-southeast-1,94.51,3044.86,Spot,Dept_C,User_3,Running
2023-01-07 14:00:00,VPC,vol-12345678,eu-central-1,51.84,2092.79,Spot,Dept_D,User_5,Stopped
2023-01-07 15:00:00,RDS,i-12345678,us-east-1,83.21,763.3,Reserved,Dept_A,User_3,Stopped
2023-01-07 16:00:00,S3,i-87654321,us-east-1,75.73,2318.78,On-Demand,Dept_D,User_5,Running
2023-01-07 17:00:00,S3,bucket-12345,us-east-1,51.88,1474.27,On-Demand,Dept_C,User_2,Running
2023-01-07 18:00:00,DynamoDB,bucket-12345,us-west-2,64.79,3479.75,Spot,Dept_D,User_5,Stopped
2023-01-07 19:00:00,VPC,bucket-12345,us-east-1,40.73,2209.84,On-Demand,Dept_B,User_1,Terminated
2023-01-07 23:00:00,RDS,i-12345678,us-west-2,41.06,2787.75,Reserved,Dept_B,User_5,Stopped
2023-01-08 00:00:00,RDS,i-12345678,ap-southeast-1,10.07,630.51,Reserved,Dept_A,User_5,Running
2023-01-08 01:00:00,RDS,i-87654321,us-east-1,78.89,2939.76,On-Demand,Dept_B,User_5,Running
2023-01-08 02:00:00,RDS,i-12345678,us-east-1,68.52,1454.96,On-Demand,Dept_D,User_4,Terminated
2023-01-08 03:00:00,RDS,vol-12345678,ap-southeast-1,95.02,1148.07,Spot,Dept_D,User_3,Running
2023-01-08 04:00:00,VPC,bucket-12345,us-east-1,42.93,709.98,Spot,Dept_D,User_5,Running
2023-01-08 08:00:00,RDS,i-87654321,ap-southeast-1,6.87,4260.85,Reserved,Dept_C,User_4,Stopped
2023-01-08 10:00:00,VPC,i-12345678,us-east-1,28.24,2808.23,Spot,Dept_B,User_1,Running
2023-01-08 11:00:00,EC2,bucket-12345,us-east-1,89.9,2564.31,On-Demand,Dept_B,User_3,Terminated
2023-01-08 13:00:00,EC2,i-12345678,eu-central-1,87.13,3850.76,Spot,Dept_C,User_2,Running
2023-01-08 17:00:00,RDS,i-12345678,us-east-1,20.31,4814.44,Reserved,Dept_C,User_5,Terminated
2023-01-08 18:00:00,DynamoDB,i-87654321,us-east-1,31.06,4917.84,On-Demand,Dept_C,User_5,Terminated
2023-01-08 19:00:00,EC2,i-12345678,us-west-2,74.11,615.91,Spot,Dept_A,User_5,Terminated
2023-01-08 21:00:00,VPC,bucket-12345,us-west-2,90.32,3321.18,Spot,Dept_D,User_4,Terminated
2023-01-08 22:00:00,Lambda,vol-12345678,eu-central-1,7.17,4610.01,On-Demand,Dept_A,User_3,Terminated
2023-01-09 00:00:00,VPC,vol-12345678,eu-central-1,8.2,4456.92,Reserved,Dept_A,User_4,Terminated
2023-01-09 01:00:00,DynamoDB,i-12345678,ap-southeast-1,76.92,4426.44,Spot,Dept_C,User_3,Terminated
2023-01-09 04:00:00,S3,i-87654321,ap-southeast-1,53.07,589.34,Spot,Dept_D,User_1,Stopped
2023-01-09 07:00:00,VPC,i-12345678,ap-southeast-1,45.49,3419.95,Reserved,Dept_C,User_4,Stopped
2023-01-09 11:00:00,VPC,vol-12345678,eu-central-1,89.25,3331.24,Spot,Dept_D,User_5,Stopped
2023-01-09 15:00:00,RDS,i-12345678,us-west-2,10.22,2468.51,Spot,Dept_D,User_4,Stopped
2023-01-09 18:00:00,Lambda,i-87654321,eu-central-1,98.06,3607.55,On-Demand,Dept_B,User_2,Terminated
2023-01-09 19:00:00,EC2,vol-12345678,us-west-2,39.34,1676.43,Reserved,Dept_A,User_1,Stopped
2023-01-09 20:00:00,DynamoDB,i-12345678,us-west-2,88.65,334.45,Spot,Dept_A,User_2,Terminated
2023-01-09 21:00:00,EC2,bucket-12345,us-east-1,51.01,3855.6,On-Demand,Dept_D,User_4,Stopped
2023-01-09 22:00:00,EC2,i-12345678,ap-southeast-1,71.73,1099.01,Reserved,Dept_A,User_5,Running
2023-01-10 03:00:00,RDS,i-87654321,us-east-1,56.72,3447.03,Reserved,Dept_D,User_1,Stopped
2023-01-10 06:00:00,EC2,i-87654321,ap-southeast-1,93.63,4125.67,Spot,Dept_C,User_3,Running
2023-01-10 10:00:00,S3,i-87654321,eu-central-1,66.88,1109.22,On-Demand,Dept_B,User_4,Running
2023-01-10 12:00:00,RDS,bucket-12345,us-west-2,98.77,822.6,Reserved,Dept_A,User_5,Terminated
2023-01-10 13:00:00,S3,bucket-12345,ap-southeast-1,76.34,2128.92,On-Demand,Dept_D,User_1,Running
2023-01-10 14:00:00,VPC,i-12345678,eu-central-1,57.42,178.04,Spot,Dept_C,User_4,Running
2023-01-10 15:00:00,RDS,vol-12345678,eu-central-1,75.69,4444.63,Spot,Dept_B,User_2,Running
2023-01-10 18:00:00,EC2,bucket-12345,eu-central-1,65.47,4317.96,On-Demand,Dept_A,User_4,Running
2023-01-10 20:00:00,DynamoDB,i-12345678,ap-southeast-1,96.98,2488.88,On-Demand,Dept_D,User_2,Running
2023-01-10 21:00:00,RDS,bucket-12345,eu-central-1,34.2,1509.92,Spot,Dept_A,User_5,Terminated
2023-01-10 23:00:00,VPC,i-87654321,us-west-2,85.17,3354.03,Spot,Dept_B,User_5,Terminated
2023-01-11 03:00:00,EC2,bucket-12345,ap-southeast-1,58.49,2241.45,Reserved,Dept_C,User_2,Stopped
2023-01-11 04:00:00,RDS,vol-12345678,eu-central-1,60.69,4334.21,Spot,Dept_D,User_1,Stopped
2023-01-11 06:00:00,VPC,i-87654321,us-west-2,84.72,3184.45,Reserved,Dept_A,User_4,Stopped
2023-01-11 07:00:00,DynamoDB,i-87654321,us-east-1,17.09,3393.68,On-Demand,Dept_D,User_3,Stopped
2023-01-11 08:00:00,Lambda,i-12345678,ap-southeast-1,36.79,3281.03,On-Demand,Dept_A,User_4,Terminated
2023-01-11 10:00:00,RDS,vol-12345678,us-east-1,28.4,3419.74,Reserved,Dept_D,User_3,Running
2023-01-11 12:00:00,RDS,i-87654321,us-west-2,26.39,2979.45,On-Demand,Dept_D,User_4,Terminated
2023-01-11 13:00:00,Lambda,i-87654321,ap-southeast-1,47.02,2771.4,On-Demand,Dept_D,User_5,Terminated
2023-01-11 15:00:00,Lambda,i-87654321,us-west-2,8.1,3894.43,Spot,Dept_C,User_4,Running
2023-01-11 16:00:00,Lambda,i-12345678,us-east-1,82.09,404.82,Spot,Dept_D,User_2,Stopped
2023-01-11 18:00:00,RDS,i-12345678,us-east-1,3.28,2356.01,On-Demand,Dept_B,User_4,Stopped
2023-01-11 19:00:00,EC2,i-12345678,ap-southeast-1,90.3,4458.74,Reserved,Dept_C,User_5,Terminated
2023-01-11 20:00:00,EC2,vol-12345678,ap-southeast-1,4.02,2876.01,Reserved,Dept_B,User_3,Terminated
2023-01-11 21:00:00,S3,bucket-12345,ap-southeast-1,51.57,4210.41,Spot,Dept_A,User_3,Terminated
2023-01-12 00:00:00,RDS,bucket-12345,us-east-1,88.73,1629.32,Reserved,Dept_A,User_4,Running
2023-01-12 02:00:00,EC2,vol-12345678,ap-southeast-1,19.77,2008.73,On-Demand,Dept_D,User_1,Terminated
2023-01-12 03:00:00,S3,i-12345678,us-east-1,62.08,2794.38,Reserved,Dept_C,User_5,Running
2023-01-12 05:00:00,S3,bucket-12345,ap-southeast-1,88.97,4602.2,On-Demand,Dept_A,User_2,Stopped
2023-01-12 06:00:00,Lambda,i-87654321,ap-southeast-1,46.88,3507.44,Spot,Dept_D,User_4,Stopped
2023-01-12 09:00:00,EC2,i-87654321,ap-southeast-1,68.85,338.89,Spot,Dept_B,User_5,Terminated
2023-01-12 10:00:00,RDS,vol-12345678,us-east-1,97.91,1686.38,Spot,Dept_A,User_1,Stopped
2023-01-12 11:00:00,RDS,i-12345678,us-east-1,23.67,2583.67,Reserved,Dept_C,User_2,Stopped
2023-01-12 12:00:00,EC2,i-87654321,us-east-1,16.94,4011.95,Reserved,Dept_A,User_4,Running
2023-01-12 13:00:00,S3,i-87654321,us-east-1,34.27,1988.93,On-Demand,Dept_A,User_4,Running
2023-01-12 14:00:00,EC2,bucket-12345,ap-southeast-1,16.52,1350.16,On-Demand,Dept_A,User_4,Stopped
2023-01-12 15:00:00,VPC,i-12345678,us-west-2,28.49,1863.04,Reserved,Dept_A,User_4,Stopped
2023-01-12 16:00:00,RDS,i-12345678,eu-central-1,74.32,3518.19,On-Demand,Dept_B,User_1,Stopped
2023-01-12 17:00:00,DynamoDB,i-12345678,eu-central-1,47.8,1681.42,On-Demand,Dept_C,User_1,Running
2023-01-12 19:00:00,Lambda,bucket-12345,eu-central-1,36.94,875.31,Spot,Dept_C,User_5,Terminated
2023-01-12 20:00:00,EC2,vol-12345678,us-east-1,19.53,3765.6,Reserved,Dept_D,User_3,Running
2023-01-12 21:00:00,EC2,i-12345678,ap-southeast-1,44.8,2946.02,Reserved,Dept_D,User_3,Running
2023-01-13 00:00:00,Lambda,vol-12345678,eu-central-1,97.28,2237.98,On-Demand,Dept_B,User_3,Terminated
2023-01-13 01:00:00,RDS,bucket-12345,us-west-2,44.38,3412.15,Spot,Dept_D,User_3,Stopped
2023-01-13 03:00:00,EC2,vol-12345678,us-west-2,13.55,553.66,Reserved,Dept_D,User_3,Running
2023-01-13 04:00:00,RDS,i-12345678,us-east-1,76.74,4200.0,Spot,Dept_A,User_3,Stopped
2023-01-13 05:00:00,Lambda,i-12345678,ap-southeast-1,61.8,3407.53,Spot,Dept_D,User_2,Running
2023-01-13 10:00:00,VPC,bucket-12345,ap-southeast-1,78.48,4507.4,On-Demand,Dept_D,User_1,Terminated
2023-01-13 12:00:00,VPC,bucket-12345,us-west-2,71.49,2409.59,Spot,Dept_A,User_3,Running
2023-01-13 13:00:00,EC2,vol-12345678,ap-southeast-1,52.47,1494.33,Reserved,Dept_D,User_2,Running
2023-01-13 14:00:00,Lambda,i-12345678,us-east-1,27.35,3651.69,On-Demand,Dept_A,User_1,Stopped
2023-01-13 17:00:00,S3,vol-12345678,eu-central-1,62.11,155.9,On-Demand,Dept_B,User_2,Terminated
2023-01-13 18:00:00,VPC,i-12345678,us-east-1,8.01,49.16,Spot,Dept_C,User_3,Terminated
2023-01-13 19:00:00,S3,vol-12345678,eu-central-1,49.79,1786.1,Reserved,Dept_B,User_1,Running
2023-01-13 20:00:00,S3,i-12345678,eu-central-1,69.85,762.91,Spot,Dept_D,User_3,Stopped
2023-01-14 00:00:00,EC2,i-12345678,eu-central-1,31.04,884.98,Reserved,Dept_A,User_3,Stopped
2023-01-14 01:00:00,RDS,vol-12345678,ap-southeast-1,70.09,3136.3,Reserved,Dept_A,User_4,Running
2023-01-14 03:00:00,RDS,i-12345678,eu-central-1,62.21,1702.22,Spot,Dept_A,User_1,Running
2023-01-14 06:00:00,DynamoDB,vol-12345678,us-west-2,6.17,4447.49,On-Demand,Dept_A,User_1,Stopped
2023-01-14 07:00:00,RDS,i-12345678,eu-central-1,10.9,278.66,Spot,Dept_C,User_4,Terminated
2023-01-14 09:00:00,EC2,bucket-12345,ap-southeast-1,52.76,4900.79,Spot,Dept_A,User_1,Terminated
2023-01-14 10:00:00,EC2,bucket-12345,ap-southeast-1,4.09,3659.01,Reserved,Dept_A,User_3,Running
2023-01-14 11:00:00,RDS,i-12345678,ap-southeast-1,82.6,3686.87,On-Demand,Dept_D,User_2,Terminated
2023-01-14 12:00:00,Lambda,i-87654321,eu-central-1,49.52,1090.26,Spot,Dept_C,User_3,Stopped
2023-01-14 13:00:00,Lambda,i-12345678,us-west-2,34.73,2615.6,Reserved,Dept_C,User_3,Running
2023-01-14 14:00:00,VPC,i-12345678,us-east-1,31.95,3529.85,Spot,Dept_D,User_2,Terminated
2023-01-14 17:00:00,VPC,i-87654321,us-east-1,16.13,4700.62,Spot,Dept_A,User_3,Terminated
2023-01-14 18:00:00,VPC,i-87654321,eu-central-1,21.4,2570.18,Reserved,Dept_C,User_4,Stopped
2023-01-14 21:00:00,Lambda,i-12345678,ap-southeast-1,33.16,3967.02,On-Demand,Dept_D,User_1,Terminated
2023-01-14 22:00:00,VPC,i-87654321,us-east-1,17.43,3710.24,Reserved,Dept_C,User_1,Stopped
2023-01-14 23:00:00,Lambda,vol-12345678,ap-southeast-1,21.0,3304.29,On-Demand,Dept_D,User_3,Running
2023-01-15 00:00:00,Lambda,bucket-12345,ap-southeast-1,61.96,72.8,Reserved,Dept_D,User_1,Stopped
2023-01-15 01:00:00,S3,i-87654321,us-west-2,24.68,387.61,Reserved,Dept_A,User_1,Stopped
2023-01-15 03:00:00,VPC,vol-12345678,ap-southeast-1,10.48,4558.95,Reserved,Dept_C,User_3,Stopped
2023-01-15 04:00:00,EC2,i-87654321,ap-southeast-1,3.33,3005.91,On-Demand,Dept_D,User_5,Terminated
2023-01-15 05:00:00,RDS,i-87654321,eu-central-1,8.93,1180.36,On-Demand,Dept_D,User_2,Terminated
2023-01-15 07:00:00,DynamoDB,i-87654321,us-east-1,65.16,3115.99,Reserved,Dept_D,User_5,Terminated
2023-01-15 08:00:00,RDS,i-87654321,us-east-1,95.78,2985.47,Reserved,Dept_D,User_4,Stopped
2023-01-15 09:00:00,DynamoDB,i-87654321,us-east-1,33.7,4778.54,Reserved,Dept_D,User_1,Stopped
2023-01-15 10:00:00,Lambda,i-87654321,eu-central-1,21.35,2645.66,On-Demand,Dept_D,User_2,Terminated
2023-01-15 11:00:00,RDS,i-87654321,us-west-2,56.24,1775.4,Spot,Dept_B,User_4,Terminated
2023-01-15 12:00:00,Lambda,bucket-12345,ap-southeast-1,53.83,2625.2,Spot,Dept_C,User_3,Terminated
2023-01-15 14:00:00,EC2,bucket-12345,us-west-2,34.82,2702.05,On-Demand,Dept_D,User_5,Stopped
2023-01-15 15:00:00,RDS,bucket-12345,eu-central-1,0.69,1630.6,Spot,Dept_C,User_3,Running
2023-01-15 16:00:00,RDS,i-12345678,us-west-2,3.6,1693.44,On-Demand,Dept_B,User_3,Stopped
2023-01-15 17:00:00,VPC,i-12345678,eu-central-1,66.42,3784.18,On-Demand,Dept_D,User_2,Terminated
2023-01-15 18:00:00,DynamoDB,bucket-12345,eu-central-1,52.37,332.71,Reserved,Dept_A,User_5,Terminated
2023-01-15 20:00:00,DynamoDB,i-87654321,us-west-2,30.11,765.61,On-Demand,Dept_A,User_4,Terminated
2023-01-15 21:00:00,VPC,i-12345678,us-west-2,81.57,4723.41,Spot,Dept_C,User_2,Running
2023-01-15 22:00:00,Lambda,vol-12345678,us-west-2,42.61,450.93,On-Demand,Dept_C,User_2,Terminated
2023-01-16 00:00:00,EC2,bucket-12345,us-west-2,97.79,3152.31,Spot,Dept_D,User_4,Stopped
2023-01-16 01:00:00,DynamoDB,bucket-12345,us-west-2,51.24,3164.21,Reserved,Dept_B,User_2,Running
2023-01-16 02:00:00,DynamoDB,i-87654321,us-west-2,62.98,3817.28,On-Demand,Dept_B,User_3,Stopped
2023-01-16 04:00:00,VPC,i-12345678,us-west-2,36.3,2004.02,Reserved,Dept_D,User_5,Terminated
2023-01-16 05:00:00,DynamoDB,i-87654321,us-west-2,74.78,1443.88,Reserved,Dept_C,User_3,Running
2023-01-16 06:00:00,Lambda,vol-12345678,eu-central-1,87.04,2988.95,On-Demand,Dept_B,User_1,Terminated
2023-01-16 07:00:00,RDS,vol-12345678,eu-central-1,38.78,4649.06,Spot,Dept_C,User_5,Running
2023-01-16 08:00:00,EC2,i-87654321,us-east-1,65.73,4619.95,Spot,Dept_B,User_5,Stopped
2023-01-16 11:00:00,DynamoDB,i-12345678,us-west-2,33.33,4817.61,Spot,Dept_B,User_2,Stopped
2023-01-16 13:00:00,Lambda,bucket-12345,us-east-1,60.26,2039.46,Spot,Dept_A,User_1,Stopped
2023-01-16 14:00:00,S3,bucket-12345,ap-southeast-1,80.11,2416.38,Spot,Dept_C,User_2,Running
2023-01-16 17:00:00,VPC,i-12345678,ap-southeast-1,54.68,4103.56,Reserved,Dept_C,User_3,Terminated
2023-01-16 18:00:00,S3,i-87654321,us-east-1,83.51,581.01,On-Demand,Dept_B,User_2,Stopped
2023-01-16 19:00:00,Lambda,i-87654321,us-west-2,30.34,969.91,Spot,Dept_A,User_5,Stopped
2023-01-16 20:00:00,VPC,i-87654321,eu-central-1,83.28,1720.87,Reserved,Dept_A,User_5,Terminated
2023-01-16 21:00:00,S3,i-87654321,eu-central-1,78.48,941.61,On-Demand,Dept_B,User_2,Terminated
2023-01-16 22:00:00,VPC,i-87654321,us-east-1,2.27,4532.37,Spot,Dept_C,User_2,Stopped
2023-01-17 00:00:00,Lambda,i-87654321,eu-central-1,54.34,2786.14,On-Demand,Dept_B,User_2,Stopped
2023-01-17 02:00:00,S3,vol-12345678,eu-central-1,88.06,775.23,On-Demand,Dept_D,User_1,Running
2023-01-17 03:00:00,S3,i-87654321,ap-southeast-1,64.14,1237.45,Spot,Dept_D,User_2,Stopped
2023-01-17 04:00:00,EC2,vol-12345678,eu-central-1,38.1,4914.48,On-Demand,Dept_B,User_2,Terminated
2023-01-17 06:00:00,EC2,i-12345678,us-west-2,76.03,3367.94,On-Demand,Dept_A,User_1,Running
2023-01-17 07:00:00,Lambda,i-12345678,us-west-2,20.76,4581.35,On-Demand,Dept_D,User_1,Terminated
2023-01-17 08:00:00,VPC,i-87654321,us-east-1,69.57,4781.07,Reserved,Dept_B,User_4,Terminated
2023-01-17 09:00:00,DynamoDB,i-87654321,eu-central-1,18.2,2268.14,Reserved,Dept_C,User_5,Running
